Attack,STRIDE,Score,Frequency,Final Risk
SIGNAL_ATTACK,Spoofing,21,1,15.0
SIGNAL_ATTACK,Spoofing,21,2,15.3
SIGNAL_ATTACK,Spoofing,16,3,12.1
DOS_ATTACK,Denial of Service,18,1,12.9
DOS_ATTACK,Denial of Service,20,2,14.6
DOS_ATTACK,Denial of Service,19,1,13.6
MOTION_ATTACK,Tampering,16,1,11.5
DOS_ATTACK,Denial of Service,18,1,12.9
SIGNAL_ATTACK,Spoofing,19,1,13.6
MOTION_ATTACK,Tampering,16,2,11.8
MOTION_ATTACK,Tampering,16,3,12.1
MOTION_ATTACK,Tampering,20,1,14.3
MOTION_ATTACK,Tampering,17,2,12.5
DOS_ATTACK,Denial of Service,16,1,11.5
SIGNAL_ATTACK,Spoofing,18,1,12.9
SIGNAL_ATTACK,Spoofing,18,2,13.2
SIGNAL_ATTACK,Spoofing,16,1,11.5
MOTION_ATTACK,Tampering,13,1,9.4
MOTION_ATTACK,Tampering,15,2,11.1
MOTION_ATTACK,Tampering,18,3,13.5
MOTION_ATTACK,Tampering,16,4,12.4
SIGNAL_ATTACK,Spoofing,15,1,10.8
MOTION_ATTACK,Tampering,16,1,11.5
MOTION_ATTACK,Tampering,15,2,11.1
MOTION_ATTACK,Tampering,19,3,14.2
DOS_ATTACK,Denial of Service,18,1,12.9
SIGNAL_ATTACK,Spoofing,19,1,13.6
MOTION_ATTACK,Tampering,18,1,12.9
MOTION_ATTACK,Tampering,20,2,14.6
SIGNAL_ATTACK,Spoofing,19,2,13.9
SIGNAL_ATTACK,Spoofing,22,3,16.3
MOTION_ATTACK,Tampering,18,1,12.9
DOS_ATTACK,Denial of Service,17,1,12.2
MOTION_ATTACK,Tampering,18,2,13.2
DOS_ATTACK,Denial of Service,17,2,12.5
SIGNAL_ATTACK,Spoofing,19,1,13.6
SIGNAL_ATTACK,Spoofing,18,1,12.9
MOTION_ATTACK,Tampering,18,1,12.9
DOS_ATTACK,Denial of Service,18,1,12.9
SIGNAL_ATTACK,Spoofing,15,2,11.1
DOS_ATTACK,Denial of Service,17,2,12.5
MOTION_ATTACK,Tampering,20,1,14.3
SIGNAL_ATTACK,Spoofing,19,1,13.6
DOS_ATTACK,Denial of Service,16,1,11.5
DOS_ATTACK,Denial of Service,17,2,12.5
DOS_ATTACK,Denial of Service,17,3,12.8
MOTION_ATTACK,Tampering,18,1,12.9
MOTION_ATTACK,Tampering,17,2,12.5
MOTION_ATTACK,Tampering,14,3,10.7
DOS_ATTACK,Denial of Service,16,1,11.5
DOS_ATTACK,Denial of Service,17,2,12.5
DOS_ATTACK,Denial of Service,17,1,12.2
DOS_ATTACK,Denial of Service,16,2,11.8
MOTION_ATTACK,Tampering,14,1,10.1
MOTION_ATTACK,Tampering,18,2,13.2
DOS_ATTACK,Denial of Service,17,3,12.8
MOTION_ATTACK,Tampering,17,1,12.2
DOS_ATTACK,Denial of Service,19,1,13.6
SIGNAL_ATTACK,Spoofing,22,1,15.7
MOTION_ATTACK,Tampering,20,2,14.6
MOTION_ATTACK,Tampering,17,3,12.8
SIGNAL_ATTACK,Spoofing,20,1,14.3
SIGNAL_ATTACK,Spoofing,20,2,14.6
DOS_ATTACK,Denial of Service,19,1,13.6
MOTION_ATTACK,Tampering,16,1,11.5
DOS_ATTACK,Denial of Service,20,2,14.6
SIGNAL_ATTACK,Spoofing,18,1,12.9
SIGNAL_ATTACK,Spoofing,17,2,12.5
SIGNAL_ATTACK,Spoofing,20,3,14.9
MOTION_ATTACK,Tampering,17,1,12.2
SIGNAL_ATTACK,Spoofing,15,4,11.7
DOS_ATTACK,Denial of Service,17,1,12.2
SIGNAL_ATTACK,Spoofing,22,1,15.7
MOTION_ATTACK,Tampering,19,1,13.6
MOTION_ATTACK,Tampering,18,2,13.2
DOS_ATTACK,Denial of Service,19,2,13.9
SIGNAL_ATTACK,Spoofing,17,1,12.2
MOTION_ATTACK,Tampering,15,1,10.8
MOTION_ATTACK,Tampering,17,2,12.5
DOS_ATTACK,Denial of Service,15,1,10.8
SIGNAL_ATTACK,Spoofing,15,2,11.1
MOTION_ATTACK,Tampering,20,1,14.3
DOS_ATTACK,Denial of Service,19,1,13.6
MOTION_ATTACK,Tampering,18,2,13.2
MOTION_ATTACK,Tampering,17,3,12.8
SIGNAL_ATTACK,Spoofing,19,1,13.6
MOTION_ATTACK,Tampering,18,1,12.9
MOTION_ATTACK,Tampering,18,2,13.2
DOS_ATTACK,Denial of Service,17,1,12.2
SIGNAL_ATTACK,Spoofing,16,1,11.5
SIGNAL_ATTACK,Spoofing,18,2,13.2
